dteday,year,month,weekday,season,weather_description,cnt,registered,casual,temp
2011-04-17,2011,April,Sunday,Summer,Clear,3744,2186,1558,0.456667
2011-04-18,2011,April,Monday,Summer,Clear,3429,2760,669,0.5125
2011-04-19,2011,April,Tuesday,Summer,Partly Cloudy,3204,2795,409,0.505833
2011-04-20,2011,April,Wednesday,Summer,Clear,3944,3331,613,0.595
2011-04-21,2011,April,Thursday,Summer,Clear,4189,3444,745,0.459167
2011-04-22,2011,April,Friday,Summer,Partly Cloudy,1683,1506,177,0.336667
2011-04-23,2011,April,Saturday,Summer,Partly Cloudy,4036,2574,1462,0.46
2011-04-24,2011,April,Sunday,Summer,Partly Cloudy,4191,2481,1710,0.581667
2011-04-25,2011,April,Monday,Summer,Clear,4073,3300,773,0.606667
2011-04-26,2011,April,Tuesday,Summer,Clear,4400,3722,678,0.631667
2011-04-27,2011,April,Wednesday,Summer,Partly Cloudy,3872,3325,547,0.62
2011-04-28,2011,April,Thursday,Summer,Partly Cloudy,4058,3489,569,0.6175
2011-04-29,2011,April,Friday,Summer,Clear,4595,3717,878,0.51
2011-04-30,2011,April,Saturday,Summer,Clear,5312,3347,1965,0.4725
2011-05-01,2011,May,Sunday,Summer,Partly Cloudy,3351,2213,1138,0.451667
2011-05-02,2011,May,Monday,Summer,Partly Cloudy,4401,3554,847,0.549167
2011-05-03,2011,May,Tuesday,Summer,Partly Cloudy,4451,3848,603,0.616667
2011-05-04,2011,May,Wednesday,Summer,Partly Cloudy,2633,2378,255,0.414167
2011-05-05,2011,May,Thursday,Summer,Clear,4433,3819,614,0.459167
2011-05-06,2011,May,Friday,Summer,Clear,4608,3714,894,0.479167
2011-05-07,2011,May,Saturday,Summer,Clear,4714,3102,1612,0.52
2011-05-08,2011,May,Sunday,Summer,Clear,4333,2932,1401,0.528333
2011-05-09,2011,May,Monday,Summer,Clear,4362,3698,664,0.5325
2011-05-10,2011,May,Tuesday,Summer,Clear,4803,4109,694,0.5325
2011-05-11,2011,May,Wednesday,Summer,Clear,4182,3632,550,0.5425
2011-05-12,2011,May,Thursday,Summer,Clear,4864,4169,695,0.535
2011-05-13,2011,May,Friday,Summer,Partly Cloudy,4105,3413,692,0.5125
2011-05-14,2011,May,Saturday,Summer,Partly Cloudy,3409,2507,902,0.520833
2011-05-15,2011,May,Sunday,Summer,Partly Cloudy,4553,2971,1582,0.5625
2011-05-16,2011,May,Monday,Summer,Clear,3958,3185,773,0.5775
2011-05-17,2011,May,Tuesday,Summer,Partly Cloudy,4123,3445,678,0.561667
2011-05-18,2011,May,Wednesday,Summer,Partly Cloudy,3855,3319,536,0.55
2011-05-19,2011,May,Thursday,Summer,Partly Cloudy,4575,3840,735,0.530833
2011-05-20,2011,May,Friday,Summer,Clear,4917,4008,909,0.536667
2011-05-21,2011,May,Saturday,Summer,Clear,5805,3547,2258,0.6025
2011-05-22,2011,May,Sunday,Summer,Clear,4660,3084,1576,0.604167
2011-05-23,2011,May,Monday,Summer,Partly Cloudy,4274,3438,836,0.631667
2011-05-24,2011,May,Tuesday,Summer,Partly Cloudy,4492,3833,659,0.66
2011-05-25,2011,May,Wednesday,Summer,Clear,4978,4238,740,0.660833
2011-05-26,2011,May,Thursday,Summer,Clear,4677,3919,758,0.708333
2011-05-27,2011,May,Friday,Summer,Clear,4679,3808,871,0.681667
2011-05-28,2011,May,Saturday,Summer,Clear,4758,2757,2001,0.655833
2011-05-29,2011,May,Sunday,Summer,Clear,4788,2433,2355,0.6675
2011-05-30,2011,May,Monday,Summer,Clear,4098,2549,1549,0.733333
2011-05-31,2011,May,Tuesday,Summer,Clear,3982,3309,673,0.775
2011-06-01,2011,June,Wednesday,Summer,Partly Cloudy,3974,3461,513,0.764167
2011-06-02,2011,June,Thursday,Summer,Clear,4968,4232,736,0.715
2011-06-03,2011,June,Friday,Summer,Clear,5312,4414,898,0.62
2011-06-04,2011,June,Saturday,Summer,Clear,5342,3473,1869,0.635
2011-06-05,2011,June,Sunday,Summer,Partly Cloudy,4906,3221,1685,0.648333
2011-06-06,2011,June,Monday,Summer,Clear,4548,3875,673,0.678333
2011-06-07,2011,June,Tuesday,Summer,Clear,4833,4070,763,0.7075
2011-06-08,2011,June,Wednesday,Summer,Clear,4401,3725,676,0.775833
2011-06-09,2011,June,Thursday,Summer,Partly Cloudy,3915,3352,563,0.808333
2011-06-10,2011,June,Friday,Summer,Clear,4586,3771,815,0.755
2011-06-11,2011,June,Saturday,Summer,Clear,4966,3237,1729,0.725
2011-06-12,2011,June,Sunday,Summer,Clear,4460,2993,1467,0.6925
2011-06-13,2011,June,Monday,Summer,Clear,5020,4157,863,0.635
2011-06-14,2011,June,Tuesday,Summer,Clear,4891,4164,727,0.604167
2011-06-15,2011,June,Wednesday,Summer,Clear,5180,4411,769,0.626667
2011-06-16,2011,June,Thursday,Summer,Partly Cloudy,3767,3222,545,0.628333
2011-06-17,2011,June,Friday,Summer,Clear,4844,3981,863,0.649167
2011-06-18,2011,June,Saturday,Summer,Clear,5119,3312,1807,0.696667
2011-06-19,2011,June,Sunday,Summer,Partly Cloudy,4744,3105,1639,0.699167
2011-06-20,2011,June,Monday,Summer,Partly Cloudy,4010,3311,699,0.635
2011-06-21,2011,June,Tuesday,Autumn,Partly Cloudy,4835,4061,774,0.680833
2011-06-22,2011,June,Wednesday,Autumn,Clear,4507,3846,661,0.733333
2011-06-23,2011,June,Thursday,Autumn,Partly Cloudy,4790,4044,746,0.728333
2011-06-24,2011,June,Friday,Autumn,Clear,4991,4022,969,0.724167
2011-06-25,2011,June,Saturday,Autumn,Clear,5202,3420,1782,0.695
2011-06-26,2011,June,Sunday,Autumn,Clear,5305,3385,1920,0.68
2011-06-27,2011,June,Monday,Autumn,Partly Cloudy,4708,3854,854,0.6825
2011-06-28,2011,June,Tuesday,Autumn,Clear,4648,3916,732,0.744167
2011-06-29,2011,June,Wednesday,Autumn,Clear,5225,4377,848,0.728333
2011-06-30,2011,June,Thursday,Autumn,Clear,5515,4488,1027,0.696667
2011-07-01,2011,July,Friday,Autumn,Clear,5362,4116,1246,0.7225
2011-07-02,2011,July,Saturday,Autumn,Clear,5119,2915,2204,0.738333
2011-07-03,2011,July,Sunday,Autumn,Partly Cloudy,4649,2367,2282,0.716667
2011-07-04,2011,July,Monday,Autumn,Partly Cloudy,6043,2978,3065,0.726667
2011-07-05,2011,July,Tuesday,Autumn,Clear,4665,3634,1031,0.746667
2011-07-06,2011,July,Wednesday,Autumn,Clear,4629,3845,784,0.72
2011-07-07,2011,July,Thursday,Autumn,Clear,4592,3838,754,0.75
2011-07-08,2011,July,Friday,Autumn,Partly Cloudy,4040,3348,692,0.709167
2011-07-09,2011,July,Saturday,Autumn,Clear,5336,3348,1988,0.733333
2011-07-10,2011,July,Sunday,Autumn,Clear,4881,3138,1743,0.7475
2011-07-11,2011,July,Monday,Autumn,Clear,4086,3363,723,0.7625
2011-07-12,2011,July,Tuesday,Autumn,Clear,4258,3596,662,0.794167
2011-07-13,2011,July,Wednesday,Autumn,Clear,4342,3594,748,0.746667
2011-07-14,2011,July,Thursday,Autumn,Clear,5084,4196,888,0.680833
2011-07-15,2011,July,Friday,Autumn,Clear,5538,4220,1318,0.663333
2011-07-16,2011,July,Saturday,Autumn,Clear,5923,3505,2418,0.686667
2011-07-17,2011,July,Sunday,Autumn,Clear,5302,3296,2006,0.719167
2011-07-18,2011,July,Monday,Autumn,Clear,4458,3617,841,0.746667
2011-07-19,2011,July,Tuesday,Autumn,Clear,4541,3789,752,0.776667
2011-07-20,2011,July,Wednesday,Autumn,Clear,4332,3688,644,0.768333
2011-07-21,2011,July,Thursday,Autumn,Partly Cloudy,3784,3152,632,0.815
2011-07-22,2011,July,Friday,Autumn,Clear,3387,2825,562,0.848333
2011-07-23,2011,July,Saturday,Autumn,Clear,3285,2298,987,0.849167
2011-07-24,2011,July,Sunday,Autumn,Clear,3606,2556,1050,0.83
2011-07-25,2011,July,Monday,Autumn,Clear,3840,3272,568,0.743333
2011-07-26,2011,July,Tuesday,Autumn,Clear,4590,3840,750,0.771667
2011-07-27,2011,July,Wednesday,Autumn,Clear,4656,3901,755,0.775
2011-07-28,2011,July,Thursday,Autumn,Clear,4390,3784,606,0.779167
2011-07-29,2011,July,Friday,Autumn,Clear,3846,3176,670,0.838333
2011-07-30,2011,July,Saturday,Autumn,Clear,4475,2916,1559,0.804167
2011-07-31,2011,July,Sunday,Autumn,Clear,4302,2778,1524,0.805833
2011-08-01,2011,August,Monday,Autumn,Clear,4266,3537,729,0.771667
2011-08-02,2011,August,Tuesday,Autumn,Clear,4845,4044,801,0.783333
2011-08-03,2011,August,Wednesday,Autumn,Partly Cloudy,3574,3107,467,0.731667
2011-08-04,2011,August,Thursday,Autumn,Partly Cloudy,4576,3777,799,0.71
2011-08-05,2011,August,Friday,Autumn,Clear,4866,3843,1023,0.710833
2011-08-06,2011,August,Saturday,Autumn,Partly Cloudy,4294,2773,1521,0.716667
2011-08-07,2011,August,Sunday,Autumn,Clear,3785,2487,1298,0.7425
2011-08-08,2011,August,Monday,Autumn,Clear,4326,3480,846,0.765
2011-08-09,2011,August,Tuesday,Autumn,Clear,4602,3695,907,0.775
2011-08-10,2011,August,Wednesday,Autumn,Clear,4780,3896,884,0.766667
2011-08-11,2011,August,Thursday,Autumn,Clear,4792,3980,812,0.7175
2011-08-12,2011,August,Friday,Autumn,Clear,4905,3854,1051,0.708333
2011-08-13,2011,August,Saturday,Autumn,Partly Cloudy,4150,2646,1504,0.685833
2011-08-14,2011,August,Sunday,Autumn,Partly Cloudy,3820,2482,1338,0.676667
2011-08-15,2011,August,Monday,Autumn,Clear,4338,3563,775,0.665833
2011-08-16,2011,August,Tuesday,Autumn,Clear,4725,4004,721,0.700833
2011-08-17,2011,August,Wednesday,Autumn,Clear,4694,4026,668,0.723333
2011-08-18,2011,August,Thursday,Autumn,Clear,3805,3166,639,0.711667
2011-08-19,2011,August,Friday,Autumn,Partly Cloudy,4153,3356,797,0.685
2011-08-20,2011,August,Saturday,Autumn,Clear,5191,3277,1914,0.6975
2011-08-21,2011,August,Sunday,Autumn,Clear,3873,2624,1249,0.710833
2011-08-22,2011,August,Monday,Autumn,Clear,4758,3925,833,0.691667
2011-08-23,2011,August,Tuesday,Autumn,Clear,5895,4614,1281,0.640833
2011-08-24,2011,August,Wednesday,Autumn,Clear,5130,4181,949,0.673333
2011-08-25,2011,August,Thursday,Autumn,Partly Cloudy,3542,3107,435,0.684167
2011-08-26,2011,August,Friday,Autumn,Clear,4661,3893,768,0.7
2011-08-27,2011,August,Saturday,Autumn,Partly Cloudy,1115,889,226,0.68
2011-08-28,2011,August,Sunday,Autumn,Clear,4334,2919,1415,0.707059
2011-08-29,2011,August,Monday,Autumn,Clear,4634,3905,729,0.636667
2011-08-30,2011,August,Tuesday,Autumn,Clear,5204,4429,775,0.639167
2011-08-31,2011,August,Wednesday,Autumn,Clear,5058,4370,688,0.656667
2011-09-01,2011,September,Thursday,Autumn,Clear,5115,4332,783,0.655
2011-09-02,2011,September,Friday,Autumn,Partly Cloudy,4727,3852,875,0.643333
2011-09-03,2011,September,Saturday,Autumn,Clear,4484,2549,1935,0.669167
2011-09-04,2011,September,Sunday,Autumn,Clear,4940,2419,2521,0.709167
2011-09-05,2011,September,Monday,Autumn,Partly Cloudy,3351,2115,1236,0.673333
2011-09-06,2011,September,Tuesday,Autumn,Light Snow/Rain,2710,2506,204,0.54
2011-09-07,2011,September,Wednesday,Autumn,Light Snow/Rain,1996,1878,118,0.599167
2011-09-08,2011,September,Thursday,Autumn,Light Snow/Rain,1842,1689,153,0.633913
2011-09-09,2011,September,Friday,Autumn,Partly Cloudy,3544,3127,417,0.65
2011-09-10,2011,September,Saturday,Autumn,Clear,5345,3595,1750,0.66
2011-09-11,2011,September,Sunday,Autumn,Clear,5046,3413,1633,0.653333
2011-09-12,2011,September,Monday,Autumn,Clear,4713,4023,690,0.644348
2011-09-13,2011,September,Tuesday,Autumn,Clear,4763,4062,701,0.650833
2011-09-14,2011,September,Wednesday,Autumn,Clear,4785,4138,647,0.673333
2011-09-15,2011,September,Thursday,Autumn,Partly Cloudy,3659,3231,428,0.5775
2011-09-16,2011,September,Friday,Autumn,Partly Cloudy,4760,4018,742,0.469167
2011-09-17,2011,September,Saturday,Autumn,Partly Cloudy,4511,3077,1434,0.491667
2011-09-18,2011,September,Sunday,Autumn,Clear,4274,2921,1353,0.5075
2011-09-19,2011,September,Monday,Autumn,Partly Cloudy,4539,3848,691,0.549167
2011-09-20,2011,September,Tuesday,Autumn,Partly Cloudy,3641,3203,438,0.561667
2011-09-21,2011,September,Wednesday,Autumn,Partly Cloudy,4352,3813,539,0.595
2011-09-22,2011,September,Thursday,Autumn,Partly Cloudy,4795,4240,555,0.628333
2011-09-23,2011,September,Friday,Winter,Partly Cloudy,2395,2137,258,0.609167
2011-09-24,2011,September,Saturday,Winter,Partly Cloudy,5423,3647,1776,0.606667
2011-09-25,2011,September,Sunday,Winter,Partly Cloudy,5010,3466,1544,0.634167
2011-09-26,2011,September,Monday,Winter,Partly Cloudy,4630,3946,684,0.649167
2011-09-27,2011,September,Tuesday,Winter,Partly Cloudy,4120,3643,477,0.636667
2011-09-28,2011,September,Wednesday,Winter,Partly Cloudy,3907,3427,480,0.635
2011-09-29,2011,September,Thursday,Winter,Clear,4839,4186,653,0.616667
2011-09-30,2011,September,Friday,Winter,Clear,5202,4372,830,0.564167
2011-10-01,2011,October,Saturday,Winter,Partly Cloudy,2429,1949,480,0.41
2011-10-02,2011,October,Sunday,Winter,Partly Cloudy,2918,2302,616,0.356667
2011-10-03,2011,October,Monday,Winter,Partly Cloudy,3570,3240,330,0.384167
2011-10-04,2011,October,Tuesday,Winter,Clear,4456,3970,486,0.484167
2011-10-05,2011,October,Wednesday,Winter,Clear,4826,4267,559,0.538333
2011-10-06,2011,October,Thursday,Winter,Clear,4765,4126,639,0.494167
2011-10-07,2011,October,Friday,Winter,Clear,4985,4036,949,0.510833
2011-10-08,2011,October,Saturday,Winter,Clear,5409,3174,2235,0.521667
2011-10-09,2011,October,Sunday,Winter,Clear,5511,3114,2397,0.540833
2011-10-10,2011,October,Monday,Winter,Clear,5117,3603,1514,0.570833
2011-10-11,2011,October,Tuesday,Winter,Partly Cloudy,4563,3896,667,0.566667
2011-10-12,2011,October,Wednesday,Winter,Light Snow/Rain,2416,2199,217,0.543333
2011-10-13,2011,October,Thursday,Winter,Partly Cloudy,2913,2623,290,0.589167
2011-10-14,2011,October,Friday,Winter,Partly Cloudy,3644,3115,529,0.550833
2011-10-15,2011,October,Saturday,Winter,Clear,5217,3318,1899,0.506667
2011-10-16,2011,October,Sunday,Winter,Clear,5041,3293,1748,0.511667
2011-10-17,2011,October,Monday,Winter,Clear,4570,3857,713,0.534167
2011-10-18,2011,October,Tuesday,Winter,Partly Cloudy,4748,4111,637,0.5325
2011-10-19,2011,October,Wednesday,Winter,Light Snow/Rain,2424,2170,254,0.541739
2011-10-20,2011,October,Thursday,Winter,Clear,4195,3724,471,0.475833
2011-10-21,2011,October,Friday,Winter,Clear,4304,3628,676,0.4275
2011-10-22,2011,October,Saturday,Winter,Clear,4308,2809,1499,0.4225
2011-10-23,2011,October,Sunday,Winter,Clear,4381,2762,1619,0.421667
2011-10-24,2011,October,Monday,Winter,Clear,4187,3488,699,0.463333
2011-10-25,2011,October,Tuesday,Winter,Clear,4687,3992,695,0.471667
2011-10-26,2011,October,Wednesday,Winter,Partly Cloudy,3894,3490,404,0.484167
2011-10-27,2011,October,Thursday,Winter,Partly Cloudy,2659,2419,240,0.47
2011-10-28,2011,October,Friday,Winter,Partly Cloudy,3747,3291,456,0.330833
2011-10-29,2011,October,Saturday,Winter,Light Snow/Rain,627,570,57,0.254167
2011-10-30,2011,October,Sunday,Winter,Clear,3331,2446,885,0.319167
2011-10-31,2011,October,Monday,Winter,Clear,3669,3307,362,0.34
2011-11-01,2011,November,Tuesday,Winter,Clear,4068,3658,410,0.400833
2011-11-02,2011,November,Wednesday,Winter,Clear,4186,3816,370,0.3775
2011-11-03,2011,November,Thursday,Winter,Clear,3974,3656,318,0.408333
2011-11-04,2011,November,Friday,Winter,Partly Cloudy,4046,3576,470,0.403333
2011-11-05,2011,November,Saturday,Winter,Clear,3926,2770,1156,0.326667
2011-11-06,2011,November,Sunday,Winter,Clear,3649,2697,952,0.348333
2011-11-07,2011,November,Monday,Winter,Clear,4035,3662,373,0.395
2011-11-08,2011,November,Tuesday,Winter,Clear,4205,3829,376,0.408333
2011-11-09,2011,November,Wednesday,Winter,Clear,4109,3804,305,0.4
2011-11-10,2011,November,Thursday,Winter,Partly Cloudy,2933,2743,190,0.38
2011-11-11,2011,November,Friday,Winter,Clear,3368,2928,440,0.324167
2011-11-12,2011,November,Saturday,Winter,Clear,4067,2792,1275,0.356667
2011-11-13,2011,November,Sunday,Winter,Clear,3717,2713,1004,0.440833
2011-11-14,2011,November,Monday,Winter,Clear,4486,3891,595,0.53
2011-11-15,2011,November,Tuesday,Winter,Partly Cloudy,4195,3746,449,0.53
2011-11-16,2011,November,Wednesday,Winter,Light Snow/Rain,1817,1672,145,0.456667
2011-11-17,2011,November,Thursday,Winter,Partly Cloudy,3053,2914,139,0.341667
2011-11-18,2011,November,Friday,Winter,Clear,3392,3147,245,0.274167
2011-11-19,2011,November,Saturday,Winter,Clear,3663,2720,943,0.329167
2011-11-20,2011,November,Sunday,Winter,Partly Cloudy,3520,2733,787,0.463333
2011-11-21,2011,November,Monday,Winter,Light Snow/Rain,2765,2545,220,0.4475
2011-11-22,2011,November,Tuesday,Winter,Light Snow/Rain,1607,1538,69,0.416667
2011-11-23,2011,November,Wednesday,Winter,Partly Cloudy,2566,2454,112,0.440833
2011-11-24,2011,November,Thursday,Winter,Clear,1495,935,560,0.373333
2011-11-25,2011,November,Friday,Winter,Clear,2792,1697,1095,0.375
2011-11-26,2011,November,Saturday,Winter,Clear,3068,1819,1249,0.375833
2011-11-27,2011,November,Sunday,Winter,Clear,3071,2261,810,0.459167
2011-11-28,2011,November,Monday,Winter,Clear,3867,3614,253,0.503478
2011-11-29,2011,November,Tuesday,Winter,Partly Cloudy,2914,2818,96,0.458333
2011-11-30,2011,November,Wednesday,Winter,Clear,3613,3425,188,0.325
2011-12-01,2011,December,Thursday,Winter,Clear,3727,3545,182,0.3125
2011-12-02,2011,December,Friday,Winter,Clear,3940,3672,268,0.314167
2011-12-03,2011,December,Saturday,Winter,Clear,3614,2908,706,0.299167
2011-12-04,2011,December,Sunday,Winter,Clear,3485,2851,634,0.330833
2011-12-05,2011,December,Monday,Winter,Partly Cloudy,3811,3578,233,0.385833
2011-12-06,2011,December,Tuesday,Winter,Light Snow/Rain,2594,2468,126,0.4625
2011-12-07,2011,December,Wednesday,Winter,Light Snow/Rain,705,655,50,0.41
2011-12-08,2011,December,Thursday,Winter,Clear,3322,3172,150,0.265833
2011-12-09,2011,December,Friday,Winter,Clear,3620,3359,261,0.290833
2011-12-10,2011,December,Saturday,Winter,Clear,3190,2688,502,0.275
2011-12-11,2011,December,Sunday,Winter,Clear,2743,2366,377,0.220833
2011-12-12,2011,December,Monday,Winter,Clear,3310,3167,143,0.238333
2011-12-13,2011,December,Tuesday,Winter,Clear,3523,3368,155,0.2825
