dteday,year,month,hr,weekday,season,weather_description,cnt,registered,casual,temp
2011-01-05,2011,January,2,Wednesday,Spring,Clear,2,2,0,0.16
2011-01-05,2011,January,4,Wednesday,Spring,Clear,2,2,0,0.24
2011-01-05,2011,January,5,Wednesday,Spring,Clear,3,3,0,0.22
2011-01-05,2011,January,6,Wednesday,Spring,Clear,33,33,0,0.2
2011-01-05,2011,January,7,Wednesday,Spring,Clear,88,87,1,0.18
2011-01-05,2011,January,8,Wednesday,Spring,Clear,195,192,3,0.2
2011-01-05,2011,January,9,Wednesday,Spring,Clear,115,109,6,0.22
2011-01-05,2011,January,10,Wednesday,Spring,Clear,57,53,4,0.22
2011-01-05,2011,January,11,Wednesday,Spring,Clear,46,34,12,0.26
2011-01-05,2011,January,12,Wednesday,Spring,Clear,79,74,5,0.26
2011-01-05,2011,January,13,Wednesday,Spring,Clear,71,65,6,0.28
2011-01-05,2011,January,14,Wednesday,Spring,Clear,62,52,10,0.3
2011-01-05,2011,January,15,Wednesday,Spring,Clear,62,55,7,0.3
2011-01-05,2011,January,16,Wednesday,Spring,Clear,89,85,4,0.3
2011-01-05,2011,January,17,Wednesday,Spring,Clear,190,186,4,0.24
2011-01-05,2011,January,18,Wednesday,Spring,Clear,169,166,3,0.24
2011-01-05,2011,January,19,Wednesday,Spring,Clear,132,127,5,0.24
2011-01-05,2011,January,20,Wednesday,Spring,Clear,89,82,7,0.22
2011-01-05,2011,January,21,Wednesday,Spring,Clear,43,40,3,0.2
2011-01-05,2011,January,22,Wednesday,Spring,Clear,42,41,1,0.18
2011-01-05,2011,January,23,Wednesday,Spring,Clear,19,18,1,0.2
2011-01-06,2011,January,0,Thursday,Spring,Clear,11,11,0,0.18
2011-01-06,2011,January,1,Thursday,Spring,Clear,4,4,0,0.16
2011-01-06,2011,January,2,Thursday,Spring,Clear,2,2,0,0.16
2011-01-06,2011,January,4,Thursday,Spring,Partly Cloudy,1,1,0,0.16
2011-01-06,2011,January,5,Thursday,Spring,Partly Cloudy,4,4,0,0.14
2011-01-06,2011,January,6,Thursday,Spring,Partly Cloudy,36,36,0,0.14
2011-01-06,2011,January,7,Thursday,Spring,Partly Cloudy,95,95,0,0.16
2011-01-06,2011,January,8,Thursday,Spring,Clear,219,216,3,0.16
2011-01-06,2011,January,9,Thursday,Spring,Partly Cloudy,122,116,6,0.18
2011-01-06,2011,January,10,Thursday,Spring,Clear,45,42,3,0.2
2011-01-06,2011,January,11,Thursday,Spring,Clear,59,57,2,0.22
2011-01-06,2011,January,12,Thursday,Spring,Clear,84,78,6,0.26
2011-01-06,2011,January,13,Thursday,Spring,Clear,67,55,12,0.26
2011-01-06,2011,January,14,Thursday,Spring,Clear,70,59,11,0.28
2011-01-06,2011,January,15,Thursday,Spring,Clear,62,54,8,0.28
2011-01-06,2011,January,16,Thursday,Spring,Clear,86,74,12,0.26
2011-01-06,2011,January,17,Thursday,Spring,Clear,172,163,9,0.22
2011-01-06,2011,January,18,Thursday,Spring,Clear,163,158,5,0.22
2011-01-06,2011,January,19,Thursday,Spring,Clear,112,109,3,0.22
2011-01-06,2011,January,20,Thursday,Spring,Clear,69,66,3,0.2
2011-01-06,2011,January,21,Thursday,Spring,Partly Cloudy,48,48,0,0.22
2011-01-06,2011,January,22,Thursday,Spring,Partly Cloudy,52,51,1,0.22
2011-01-06,2011,January,23,Thursday,Spring,Partly Cloudy,23,19,4,0.2
2011-01-07,2011,January,0,Friday,Spring,Partly Cloudy,17,13,4,0.2
2011-01-07,2011,January,1,Friday,Spring,Partly Cloudy,7,5,2,0.2
2011-01-07,2011,January,2,Friday,Spring,Partly Cloudy,1,1,0,0.2
2011-01-07,2011,January,4,Friday,Spring,Partly Cloudy,1,1,0,0.2
2011-01-07,2011,January,5,Friday,Spring,Light Snow/Rain,5,5,0,0.22
2011-01-07,2011,January,6,Friday,Spring,Partly Cloudy,34,26,8,0.2
2011-01-07,2011,January,7,Friday,Spring,Clear,84,76,8,0.2
2011-01-07,2011,January,8,Friday,Spring,Clear,210,190,20,0.2
2011-01-07,2011,January,9,Friday,Spring,Clear,134,125,9,0.2
2011-01-07,2011,January,10,Friday,Spring,Clear,63,47,16,0.22
2011-01-07,2011,January,11,Friday,Spring,Partly Cloudy,67,48,19,0.2
2011-01-07,2011,January,12,Friday,Spring,Partly Cloudy,59,50,9,0.2
2011-01-07,2011,January,13,Friday,Spring,Partly Cloudy,73,64,9,0.2
2011-01-07,2011,January,14,Friday,Spring,Partly Cloudy,50,43,7,0.2
2011-01-07,2011,January,15,Friday,Spring,Partly Cloudy,72,63,9,0.2
2011-01-07,2011,January,16,Friday,Spring,Partly Cloudy,87,82,5,0.2
2011-01-07,2011,January,17,Friday,Spring,Partly Cloudy,187,178,9,0.2
2011-01-07,2011,January,18,Friday,Spring,Clear,123,116,7,0.2
2011-01-07,2011,January,19,Friday,Spring,Clear,95,92,3,0.16
2011-01-07,2011,January,20,Friday,Spring,Clear,51,50,1,0.18
2011-01-07,2011,January,21,Friday,Spring,Clear,39,39,0,0.18
2011-01-07,2011,January,22,Friday,Spring,Partly Cloudy,36,34,2,0.18
2011-01-07,2011,January,23,Friday,Spring,Partly Cloudy,15,14,1,0.18
2011-01-08,2011,January,0,Saturday,Spring,Partly Cloudy,25,24,1,0.18
2011-01-08,2011,January,1,Saturday,Spring,Partly Cloudy,16,15,1,0.18
2011-01-08,2011,January,2,Saturday,Spring,Partly Cloudy,16,13,3,0.18
2011-01-08,2011,January,3,Saturday,Spring,Light Snow/Rain,7,7,0,0.18
2011-01-08,2011,January,4,Saturday,Spring,Light Snow/Rain,1,1,0,0.18
2011-01-08,2011,January,5,Saturday,Spring,Partly Cloudy,5,5,0,0.16
2011-01-08,2011,January,6,Saturday,Spring,Partly Cloudy,2,2,0,0.16
2011-01-08,2011,January,7,Saturday,Spring,Partly Cloudy,9,8,1,0.16
2011-01-08,2011,January,8,Saturday,Spring,Light Snow/Rain,15,15,0,0.16
2011-01-08,2011,January,9,Saturday,Spring,Light Snow/Rain,20,20,0,0.16
2011-01-08,2011,January,10,Saturday,Spring,Partly Cloudy,61,56,5,0.18
2011-01-08,2011,January,11,Saturday,Spring,Partly Cloudy,62,60,2,0.2
2011-01-08,2011,January,12,Saturday,Spring,Partly Cloudy,98,90,8,0.2
2011-01-08,2011,January,13,Saturday,Spring,Clear,102,95,7,0.2
2011-01-08,2011,January,14,Saturday,Spring,Clear,95,83,12,0.2
2011-01-08,2011,January,15,Saturday,Spring,Clear,74,69,5,0.2
2011-01-08,2011,January,16,Saturday,Spring,Clear,76,68,8,0.18
2011-01-08,2011,January,17,Saturday,Spring,Clear,69,64,5,0.16
2011-01-08,2011,January,18,Saturday,Spring,Clear,55,52,3,0.14
2011-01-08,2011,January,19,Saturday,Spring,Clear,30,26,4,0.14
2011-01-08,2011,January,20,Saturday,Spring,Clear,28,28,0,0.12
2011-01-08,2011,January,21,Saturday,Spring,Clear,37,35,2,0.12
2011-01-08,2011,January,22,Saturday,Spring,Clear,34,33,1,0.12
2011-01-08,2011,January,23,Saturday,Spring,Clear,22,22,0,0.1
2011-01-09,2011,January,0,Sunday,Spring,Clear,25,24,1,0.1
2011-01-09,2011,January,1,Sunday,Spring,Clear,12,12,0,0.1
2011-01-09,2011,January,2,Sunday,Spring,Clear,11,11,0,0.1
2011-01-09,2011,January,3,Sunday,Spring,Clear,4,4,0,0.1
2011-01-09,2011,January,4,Sunday,Spring,Clear,1,1,0,0.08
2011-01-09,2011,January,5,Sunday,Spring,Clear,1,1,0,0.08
2011-01-09,2011,January,6,Sunday,Spring,Clear,1,1,0,0.1
2011-01-09,2011,January,7,Sunday,Spring,Clear,6,5,1,0.08
2011-01-09,2011,January,8,Sunday,Spring,Clear,10,10,0,0.1
2011-01-09,2011,January,9,Sunday,Spring,Clear,19,19,0,0.12
2011-01-09,2011,January,10,Sunday,Spring,Clear,49,49,0,0.14
2011-01-09,2011,January,11,Sunday,Spring,Clear,49,47,2,0.16
2011-01-09,2011,January,12,Sunday,Spring,Clear,83,79,4,0.18
2011-01-09,2011,January,13,Sunday,Spring,Clear,75,69,6,0.2
2011-01-09,2011,January,14,Sunday,Spring,Clear,72,64,8,0.22
2011-01-09,2011,January,15,Sunday,Spring,Clear,82,77,5,0.22
2011-01-09,2011,January,16,Sunday,Spring,Clear,92,79,13,0.2
2011-01-09,2011,January,17,Sunday,Spring,Clear,62,59,3,0.18
2011-01-09,2011,January,18,Sunday,Spring,Clear,48,44,4,0.16
2011-01-09,2011,January,19,Sunday,Spring,Clear,41,40,1,0.16
2011-01-09,2011,January,20,Sunday,Spring,Clear,38,38,0,0.14
2011-01-09,2011,January,21,Sunday,Spring,Clear,20,19,1,0.14
2011-01-09,2011,January,22,Sunday,Spring,Clear,15,10,5,0.14
2011-01-09,2011,January,23,Sunday,Spring,Clear,6,6,0,0.12
2011-01-10,2011,January,0,Monday,Spring,Clear,5,3,2,0.12
2011-01-10,2011,January,1,Monday,Spring,Clear,1,0,1,0.12
2011-01-10,2011,January,2,Monday,Spring,Clear,3,3,0,0.12
2011-01-10,2011,January,3,Monday,Spring,Clear,1,1,0,0.12
2011-01-10,2011,January,4,Monday,Spring,Clear,3,2,1,0.1
2011-01-10,2011,January,5,Monday,Spring,Clear,3,3,0,0.1
2011-01-10,2011,January,6,Monday,Spring,Clear,31,31,0,0.12
2011-01-10,2011,January,7,Monday,Spring,Clear,77,75,2,0.12
2011-01-10,2011,January,8,Monday,Spring,Partly Cloudy,188,184,4,0.12
2011-01-10,2011,January,9,Monday,Spring,Partly Cloudy,94,92,2,0.14
2011-01-10,2011,January,10,Monday,Spring,Partly Cloudy,31,31,0,0.14
2011-01-10,2011,January,11,Monday,Spring,Partly Cloudy,30,28,2,0.16
2011-01-10,2011,January,12,Monday,Spring,Partly Cloudy,52,47,5,0.2
2011-01-10,2011,January,13,Monday,Spring,Partly Cloudy,54,50,4,0.2
2011-01-10,2011,January,14,Monday,Spring,Partly Cloudy,47,47,0,0.2
2011-01-10,2011,January,15,Monday,Spring,Partly Cloudy,45,43,2,0.2
2011-01-10,2011,January,16,Monday,Spring,Clear,74,70,4,0.2
2011-01-10,2011,January,17,Monday,Spring,Clear,178,174,4,0.2
2011-01-10,2011,January,18,Monday,Spring,Clear,155,154,1,0.2
2011-01-10,2011,January,19,Monday,Spring,Clear,95,92,3,0.16
2011-01-10,2011,January,20,Monday,Spring,Clear,74,73,1,0.16
2011-01-10,2011,January,21,Monday,Spring,Clear,38,37,1,0.14
2011-01-10,2011,January,22,Monday,Spring,Clear,24,22,2,0.14
2011-01-10,2011,January,23,Monday,Spring,Clear,18,18,0,0.14
2011-01-11,2011,January,0,Tuesday,Spring,Clear,12,10,2,0.14
2011-01-11,2011,January,1,Tuesday,Spring,Clear,3,3,0,0.14
2011-01-11,2011,January,2,Tuesday,Spring,Partly Cloudy,3,3,0,0.16
2011-01-11,2011,January,5,Tuesday,Spring,Partly Cloudy,6,6,0,0.16
2011-01-11,2011,January,6,Tuesday,Spring,Partly Cloudy,27,27,0,0.16
2011-01-11,2011,January,7,Tuesday,Spring,Partly Cloudy,99,97,2,0.16
2011-01-11,2011,January,8,Tuesday,Spring,Partly Cloudy,217,214,3,0.18
2011-01-11,2011,January,9,Tuesday,Spring,Partly Cloudy,130,127,3,0.18
2011-01-11,2011,January,10,Tuesday,Spring,Partly Cloudy,54,51,3,0.2
2011-01-11,2011,January,11,Tuesday,Spring,Partly Cloudy,35,31,4,0.2
2011-01-11,2011,January,12,Tuesday,Spring,Partly Cloudy,57,55,2,0.2
2011-01-11,2011,January,13,Tuesday,Spring,Partly Cloudy,52,46,6,0.2
2011-01-11,2011,January,14,Tuesday,Spring,Partly Cloudy,63,60,3,0.2
2011-01-11,2011,January,15,Tuesday,Spring,Partly Cloudy,47,45,2,0.16
2011-01-11,2011,January,16,Tuesday,Spring,Partly Cloudy,76,72,4,0.16
2011-01-11,2011,January,17,Tuesday,Spring,Partly Cloudy,136,130,6,0.16
2011-01-11,2011,January,18,Tuesday,Spring,Light Snow/Rain,95,94,1,0.16
2011-01-11,2011,January,19,Tuesday,Spring,Light Snow/Rain,51,51,0,0.16
2011-01-11,2011,January,20,Tuesday,Spring,Light Snow/Rain,32,32,0,0.16
2011-01-11,2011,January,21,Tuesday,Spring,Light Snow/Rain,20,20,0,0.16
2011-01-11,2011,January,22,Tuesday,Spring,Light Snow/Rain,29,28,1,0.16
2011-01-11,2011,January,23,Tuesday,Spring,Light Snow/Rain,19,18,1,0.16
2011-01-12,2011,January,0,Wednesday,Spring,Partly Cloudy,7,7,0,0.16
2011-01-12,2011,January,1,Wednesday,Spring,Partly Cloudy,6,6,0,0.16
2011-01-12,2011,January,2,Wednesday,Spring,Clear,1,1,0,0.14
2011-01-12,2011,January,5,Wednesday,Spring,Clear,5,5,0,0.14
2011-01-12,2011,January,6,Wednesday,Spring,Clear,16,16,0,0.12
2011-01-12,2011,January,7,Wednesday,Spring,Clear,54,54,0,0.14
2011-01-12,2011,January,8,Wednesday,Spring,Clear,128,125,3,0.16
2011-01-12,2011,January,9,Wednesday,Spring,Clear,81,78,3,0.16
2011-01-12,2011,January,10,Wednesday,Spring,Clear,39,39,0,0.18
2011-01-12,2011,January,11,Wednesday,Spring,Clear,35,32,3,0.2
2011-01-12,2011,January,12,Wednesday,Spring,Clear,55,52,3,0.2
2011-01-12,2011,January,13,Wednesday,Spring,Clear,49,49,0,0.22
2011-01-12,2011,January,14,Wednesday,Spring,Clear,44,44,0,0.2
2011-01-12,2011,January,15,Wednesday,Spring,Clear,49,48,1,0.2
2011-01-12,2011,January,16,Wednesday,Spring,Clear,68,63,5,0.22
2011-01-12,2011,January,17,Wednesday,Spring,Clear,139,139,0,0.2
2011-01-12,2011,January,18,Wednesday,Spring,Clear,137,135,2,0.2
2011-01-12,2011,January,19,Wednesday,Spring,Clear,83,82,1,0.18
2011-01-12,2011,January,20,Wednesday,Spring,Clear,56,54,2,0.16
2011-01-12,2011,January,21,Wednesday,Spring,Clear,57,57,0,0.16
2011-01-12,2011,January,22,Wednesday,Spring,Clear,33,32,1,0.16
2011-01-12,2011,January,23,Wednesday,Spring,Clear,20,19,1,0.14
2011-01-13,2011,January,0,Thursday,Spring,Clear,7,6,1,0.14
2011-01-13,2011,January,1,Thursday,Spring,Clear,2,2,0,0.14
2011-01-13,2011,January,2,Thursday,Spring,Clear,2,2,0,0.14
2011-01-13,2011,January,3,Thursday,Spring,Clear,3,3,0,0.14
2011-01-13,2011,January,4,Thursday,Spring,Clear,4,4,0,0.14
2011-01-13,2011,January,5,Thursday,Spring,Clear,3,3,0,0.14
2011-01-13,2011,January,6,Thursday,Spring,Clear,28,28,0,0.12
2011-01-13,2011,January,7,Thursday,Spring,Clear,72,72,0,0.12
2011-01-13,2011,January,8,Thursday,Spring,Clear,202,197,5,0.14
2011-01-13,2011,January,9,Thursday,Spring,Clear,139,137,2,0.14
2011-01-13,2011,January,10,Thursday,Spring,Partly Cloudy,38,36,2,0.16
2011-01-13,2011,January,11,Thursday,Spring,Partly Cloudy,37,33,4,0.2
2011-01-13,2011,January,12,Thursday,Spring,Clear,52,49,3,0.2
2011-01-13,2011,January,13,Thursday,Spring,Clear,83,81,2,0.22
2011-01-13,2011,January,14,Thursday,Spring,Clear,42,39,3,0.22
2011-01-13,2011,January,15,Thursday,Spring,Clear,60,55,5,0.24
2011-01-13,2011,January,16,Thursday,Spring,Clear,78,76,2,0.24
2011-01-13,2011,January,17,Thursday,Spring,Clear,162,158,4,0.2
2011-01-13,2011,January,18,Thursday,Spring,Clear,144,141,3,0.2
2011-01-13,2011,January,19,Thursday,Spring,Clear,99,98,1,0.16
2011-01-13,2011,January,20,Thursday,Spring,Clear,64,64,0,0.16
2011-01-13,2011,January,21,Thursday,Spring,Clear,40,40,0,0.14
2011-01-13,2011,January,22,Thursday,Spring,Clear,30,30,0,0.14
2011-01-13,2011,January,23,Thursday,Spring,Clear,15,14,1,0.12
2011-01-14,2011,January,0,Friday,Spring,Clear,14,14,0,0.12
2011-01-14,2011,January,1,Friday,Spring,Clear,5,5,0,0.1
2011-01-14,2011,January,2,Friday,Spring,Clear,1,1,0,0.1
2011-01-14,2011,January,3,Friday,Spring,Clear,1,1,0,0.1
2011-01-14,2011,January,5,Friday,Spring,Clear,8,8,0,0.1
2011-01-14,2011,January,6,Friday,Spring,Clear,17,17,0,0.1
2011-01-14,2011,January,7,Friday,Spring,Clear,70,70,0,0.1
2011-01-14,2011,January,8,Friday,Spring,Clear,158,156,2,0.12
2011-01-14,2011,January,9,Friday,Spring,Clear,117,117,0,0.14
2011-01-14,2011,January,10,Friday,Spring,Clear,44,40,4,0.18
2011-01-14,2011,January,11,Friday,Spring,Clear,53,47,6,0.18
2011-01-14,2011,January,12,Friday,Spring,Clear,61,59,2,0.2
2011-01-14,2011,January,13,Friday,Spring,Clear,77,73,4,0.22
2011-01-14,2011,January,14,Friday,Spring,Clear,64,59,5,0.22
2011-01-14,2011,January,15,Friday,Spring,Clear,68,59,9,0.24
2011-01-14,2011,January,16,Friday,Spring,Clear,90,87,3,0.22
2011-01-14,2011,January,17,Friday,Spring,Clear,159,155,4,0.22
2011-01-14,2011,January,18,Friday,Spring,Clear,139,134,5,0.2
2011-01-14,2011,January,19,Friday,Spring,Clear,92,89,3,0.16
2011-01-14,2011,January,20,Friday,Spring,Clear,68,68,0,0.18
2011-01-14,2011,January,21,Friday,Spring,Clear,52,48,4,0.16
2011-01-14,2011,January,22,Friday,Spring,Partly Cloudy,36,34,2,0.16
2011-01-14,2011,January,23,Friday,Spring,Partly Cloudy,27,26,1,0.18
2011-01-15,2011,January,0,Saturday,Spring,Clear,28,25,3,0.18
2011-01-15,2011,January,1,Saturday,Spring,Partly Cloudy,20,18,2,0.16
2011-01-15,2011,January,2,Saturday,Spring,Partly Cloudy,12,12,0,0.16
2011-01-15,2011,January,3,Saturday,Spring,Partly Cloudy,8,7,1,0.16
2011-01-15,2011,January,4,Saturday,Spring,Partly Cloudy,5,5,0,0.16
2011-01-15,2011,January,5,Saturday,Spring,Clear,1,1,0,0.16
2011-01-15,2011,January,6,Saturday,Spring,Clear,3,2,1,0.14
2011-01-15,2011,January,7,Saturday,Spring,Clear,10,9,1,0.14
2011-01-15,2011,January,8,Saturday,Spring,Clear,23,22,1,0.14
2011-01-15,2011,January,9,Saturday,Spring,Clear,33,31,2,0.16
2011-01-15,2011,January,10,Saturday,Spring,Clear,59,57,2,0.18
2011-01-15,2011,January,11,Saturday,Spring,Clear,72,54,18,0.2
2011-01-15,2011,January,12,Saturday,Spring,Clear,89,74,15,0.24
2011-01-15,2011,January,13,Saturday,Spring,Clear,101,80,21,0.28
2011-01-15,2011,January,14,Saturday,Spring,Clear,118,92,26,0.3
2011-01-15,2011,January,15,Saturday,Spring,Partly Cloudy,129,108,21,0.32
2011-01-15,2011,January,16,Saturday,Spring,Partly Cloudy,128,95,33,0.34
2011-01-15,2011,January,17,Saturday,Spring,Partly Cloudy,83,54,29,0.32
2011-01-15,2011,January,18,Saturday,Spring,Partly Cloudy,84,69,15,0.3
2011-01-15,2011,January,19,Saturday,Spring,Partly Cloudy,74,60,14,0.32
2011-01-15,2011,January,20,Saturday,Spring,Partly Cloudy,41,35,6,0.32
2011-01-15,2011,January,21,Saturday,Spring,Partly Cloudy,57,51,6,0.32
2011-01-15,2011,January,22,Saturday,Spring,Partly Cloudy,26,26,0,0.3
2011-01-15,2011,January,23,Saturday,Spring,Clear,44,39,5,0.3
2011-01-16,2011,January,0,Sunday,Spring,Clear,39,33,6,0.26
2011-01-16,2011,January,1,Sunday,Spring,Clear,23,19,4,0.26
2011-01-16,2011,January,2,Sunday,Spring,Clear,16,13,3,0.26
2011-01-16,2011,January,3,Sunday,Spring,Clear,15,6,9,0.22
2011-01-16,2011,January,4,Sunday,Spring,Clear,1,1,0,0.26
2011-01-16,2011,January,5,Sunday,Spring,Partly Cloudy,2,1,1,0.26
2011-01-16,2011,January,6,Sunday,Spring,Partly Cloudy,1,1,0,0.26
2011-01-16,2011,January,7,Sunday,Spring,Partly Cloudy,3,3,0,0.24
2011-01-16,2011,January,8,Sunday,Spring,Clear,18,18,0,0.22
2011-01-16,2011,January,9,Sunday,Spring,Clear,32,29,3,0.22
2011-01-16,2011,January,10,Sunday,Spring,Clear,79,71,8,0.22
2011-01-16,2011,January,11,Sunday,Spring,Clear,93,70,23,0.24
